source,dataset,origin_country,destination_country,year,period,measure_type,value,total_migrants,male_migrants,female_migrants,analysis_question
oecd,oecd_migration_database,Cameroon,Germany,2019,pre_covid,inflow,4228.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Germany,2020,covid,inflow,1889.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Germany,2021,covid,inflow,1978.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Hungary,2015,pre_covid,inflow,63.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Hungary,2016,pre_covid,inflow,95.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Hungary,2017,pre_covid,inflow,80.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Hungary,2018,pre_covid,inflow,40.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Hungary,2019,pre_covid,inflow,32.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Hungary,2020,covid,inflow,13.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Hungary,2021,covid,inflow,17.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Iceland,2015,pre_covid,inflow,3.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Iceland,2016,pre_covid,inflow,4.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Iceland,2017,pre_covid,inflow,1.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Iceland,2018,pre_covid,inflow,0.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Iceland,2019,pre_covid,inflow,7.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Iceland,2020,covid,inflow,6.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Iceland,2021,covid,inflow,3.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Italy,2015,pre_covid,inflow,821.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Italy,2016,pre_covid,inflow,1242.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Italy,2017,pre_covid,inflow,2006.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Italy,2018,pre_covid,inflow,1700.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Italy,2019,pre_covid,inflow,991.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Italy,2020,covid,inflow,685.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Italy,2021,covid,inflow,818.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Japan,2015,pre_covid,inflow,131.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Japan,2016,pre_covid,inflow,138.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Japan,2017,pre_covid,inflow,209.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Japan,2018,pre_covid,inflow,136.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Japan,2019,pre_covid,inflow,211.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Japan,2020,covid,inflow,42.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Japan,2021,covid,inflow,22.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Korea,2015,pre_covid,inflow,157.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Korea,2016,pre_covid,inflow,252.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Korea,2017,pre_covid,inflow,240.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Korea,2018,pre_covid,inflow,174.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Korea,2019,pre_covid,inflow,105.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Korea,2020,covid,inflow,53.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Korea,2021,covid,inflow,71.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Luxembourg,2015,pre_covid,inflow,77.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Luxembourg,2016,pre_covid,inflow,70.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Luxembourg,2017,pre_covid,inflow,114.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Luxembourg,2018,pre_covid,inflow,155.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Luxembourg,2019,pre_covid,inflow,130.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Luxembourg,2020,covid,inflow,125.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Luxembourg,2021,covid,inflow,192.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Mexico,2015,pre_covid,inflow,12.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Mexico,2016,pre_covid,inflow,15.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Mexico,2017,pre_covid,inflow,14.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Mexico,2018,pre_covid,inflow,15.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Mexico,2019,pre_covid,inflow,21.0,,,,Q1_destinations
oecd,oecd_migration_database,Cameroon,Mexico,2020,covid,inflow,25.0,,,,Q1_destinations
