source,dataset,origin_country,destination_country,year,period,reason,sub_reason,measure_type,value,analysis_question
eurostat,eurostat_first_permits,Cameroon,Malta,2022,post_covid,other,not_applicable,permit,2.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Netherlands,2022,post_covid,other,not_applicable,permit,26.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Austria,2022,post_covid,other,not_applicable,permit,33.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Poland,2022,post_covid,other,not_applicable,permit,13.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Portugal,2022,post_covid,other,not_applicable,permit,7.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Romania,2022,post_covid,other,not_applicable,permit,2.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Slovenia,2022,post_covid,other,not_applicable,permit,4.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Slovakia,2022,post_covid,other,not_applicable,permit,1.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Finland,2022,post_covid,other,not_applicable,permit,33.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Sweden,2022,post_covid,other,not_applicable,permit,30.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Iceland,2022,post_covid,other,not_applicable,permit,0.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Liechtenstein,2022,post_covid,other,not_applicable,permit,0.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Norway,2022,post_covid,other,not_applicable,permit,0.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Switzerland,2022,post_covid,other,not_applicable,permit,42.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,United Kingdom,2022,post_covid,other,not_applicable,permit,0.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Serbia,2022,post_covid,other,not_applicable,permit,0.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Belgium,2023,post_covid,other,not_applicable,permit,360.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Bulgaria,2023,post_covid,other,not_applicable,permit,0.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Czechia,2023,post_covid,other,not_applicable,permit,1.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Denmark,2023,post_covid,other,not_applicable,permit,9.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Germany,2023,post_covid,other,not_applicable,permit,549.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Estonia,2023,post_covid,other,not_applicable,permit,0.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Ireland,2023,post_covid,other,not_applicable,permit,31.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Greece,2023,post_covid,other,not_applicable,permit,354.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Spain,2023,post_covid,other,not_applicable,permit,111.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,France,2023,post_covid,other,not_applicable,permit,960.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Croatia,2023,post_covid,other,not_applicable,permit,0.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Italy,2023,post_covid,other,not_applicable,permit,2561.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Cyprus,2023,post_covid,other,not_applicable,permit,63.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Latvia,2023,post_covid,other,not_applicable,permit,0.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Lithuania,2023,post_covid,other,not_applicable,permit,0.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Luxembourg,2023,post_covid,other,not_applicable,permit,3.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Hungary,2023,post_covid,other,not_applicable,permit,5.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Malta,2023,post_covid,other,not_applicable,permit,9.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Netherlands,2023,post_covid,other,not_applicable,permit,24.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Austria,2023,post_covid,other,not_applicable,permit,51.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Poland,2023,post_covid,other,not_applicable,permit,18.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Portugal,2023,post_covid,other,not_applicable,permit,14.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Romania,2023,post_covid,other,not_applicable,permit,9.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Slovenia,2023,post_covid,other,not_applicable,permit,2.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Slovakia,2023,post_covid,other,not_applicable,permit,0.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Finland,2023,post_covid,other,not_applicable,permit,28.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Sweden,2023,post_covid,other,not_applicable,permit,29.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Iceland,2023,post_covid,other,not_applicable,permit,1.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Liechtenstein,2023,post_covid,other,not_applicable,permit,0.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Norway,2023,post_covid,other,not_applicable,permit,4.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Switzerland,2023,post_covid,other,not_applicable,permit,27.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,United Kingdom,2023,post_covid,other,not_applicable,permit,0.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Serbia,2023,post_covid,other,not_applicable,permit,0.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Belgium,2024,post_covid,other,not_applicable,permit,458.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Bulgaria,2024,post_covid,other,not_applicable,permit,1.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Czechia,2024,post_covid,other,not_applicable,permit,5.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Denmark,2024,post_covid,other,not_applicable,permit,3.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Germany,2024,post_covid,other,not_applicable,permit,436.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Estonia,2024,post_covid,other,not_applicable,permit,0.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Ireland,2024,post_covid,other,not_applicable,permit,34.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Greece,2024,post_covid,other,not_applicable,permit,224.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Spain,2024,post_covid,other,not_applicable,permit,51.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,France,2024,post_covid,other,not_applicable,permit,1021.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Croatia,2024,post_covid,other,not_applicable,permit,1.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Italy,2024,post_covid,other,not_applicable,permit,1526.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Cyprus,2024,post_covid,other,not_applicable,permit,250.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Latvia,2024,post_covid,other,not_applicable,permit,1.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Lithuania,2024,post_covid,other,not_applicable,permit,7.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Luxembourg,2024,post_covid,other,not_applicable,permit,16.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Hungary,2024,post_covid,other,not_applicable,permit,5.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Malta,2024,post_covid,other,not_applicable,permit,2.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Netherlands,2024,post_covid,other,not_applicable,permit,25.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Austria,2024,post_covid,other,not_applicable,permit,34.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Poland,2024,post_covid,other,not_applicable,permit,17.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Portugal,2024,post_covid,other,not_applicable,permit,13.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Romania,2024,post_covid,other,not_applicable,permit,13.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Slovenia,2024,post_covid,other,not_applicable,permit,2.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Slovakia,2024,post_covid,other,not_applicable,permit,0.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Finland,2024,post_covid,other,not_applicable,permit,9.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Sweden,2024,post_covid,other,not_applicable,permit,33.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Iceland,2024,post_covid,other,not_applicable,permit,3.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Liechtenstein,2024,post_covid,other,not_applicable,permit,0.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Norway,2024,post_covid,other,not_applicable,permit,5.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Switzerland,2024,post_covid,other,not_applicable,permit,23.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,United Kingdom,2024,post_covid,other,not_applicable,permit,0.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Serbia,2024,post_covid,other,not_applicable,permit,0.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Australia,2015,pre_covid,other,asylum,asylum_inflow,0.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Australia,2016,pre_covid,other,asylum,asylum_inflow,18.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Australia,2019,pre_covid,other,asylum,asylum_inflow,5.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Australia,2020,covid,other,asylum,asylum_inflow,5.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Australia,2021,covid,other,asylum,asylum_inflow,0.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Austria,2015,pre_covid,other,asylum,asylum_inflow,0.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Austria,2016,pre_covid,other,asylum,asylum_inflow,0.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Austria,2017,pre_covid,other,asylum,asylum_inflow,60.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Austria,2018,pre_covid,other,asylum,asylum_inflow,30.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Austria,2019,pre_covid,other,asylum,asylum_inflow,30.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Austria,2020,covid,other,asylum,asylum_inflow,20.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Austria,2021,covid,other,asylum,asylum_inflow,30.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Belgium,2015,pre_covid,other,asylum,asylum_inflow,278.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Belgium,2016,pre_covid,other,asylum,asylum_inflow,257.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Belgium,2017,pre_covid,other,asylum,asylum_inflow,350.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Belgium,2018,pre_covid,other,asylum,asylum_inflow,355.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Belgium,2019,pre_covid,other,asylum,asylum_inflow,390.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Belgium,2020,covid,other,asylum,asylum_inflow,270.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Belgium,2021,covid,other,asylum,asylum_inflow,400.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Canada,2015,pre_covid,other,asylum,asylum_inflow,210.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Canada,2016,pre_covid,other,asylum,asylum_inflow,182.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Canada,2017,pre_covid,other,asylum,asylum_inflow,245.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Canada,2018,pre_covid,other,asylum,asylum_inflow,386.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Canada,2019,pre_covid,other,asylum,asylum_inflow,407.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Canada,2020,covid,other,asylum,asylum_inflow,121.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Canada,2021,covid,other,asylum,asylum_inflow,126.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Czechia,2015,pre_covid,other,asylum,asylum_inflow,0.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Czechia,2016,pre_covid,other,asylum,asylum_inflow,4.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Czechia,2017,pre_covid,other,asylum,asylum_inflow,5.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Czechia,2018,pre_covid,other,asylum,asylum_inflow,0.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Czechia,2019,pre_covid,other,asylum,asylum_inflow,0.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Czechia,2020,covid,other,asylum,asylum_inflow,0.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Czechia,2021,covid,other,asylum,asylum_inflow,0.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Denmark,2015,pre_covid,other,asylum,asylum_inflow,0.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Denmark,2016,pre_covid,other,asylum,asylum_inflow,11.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Denmark,2017,pre_covid,other,asylum,asylum_inflow,15.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Denmark,2018,pre_covid,other,asylum,asylum_inflow,10.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Denmark,2019,pre_covid,other,asylum,asylum_inflow,20.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Denmark,2020,covid,other,asylum,asylum_inflow,5.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Denmark,2021,covid,other,asylum,asylum_inflow,5.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Finland,2015,pre_covid,other,asylum,asylum_inflow,28.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Finland,2016,pre_covid,other,asylum,asylum_inflow,86.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Finland,2017,pre_covid,other,asylum,asylum_inflow,45.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Finland,2018,pre_covid,other,asylum,asylum_inflow,55.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Finland,2019,pre_covid,other,asylum,asylum_inflow,60.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Finland,2020,covid,other,asylum,asylum_inflow,25.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Finland,2021,covid,other,asylum,asylum_inflow,25.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,France,2015,pre_covid,other,asylum,asylum_inflow,384.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,France,2016,pre_covid,other,asylum,asylum_inflow,397.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,France,2017,pre_covid,other,asylum,asylum_inflow,605.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,France,2018,pre_covid,other,asylum,asylum_inflow,1020.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,France,2019,pre_covid,other,asylum,asylum_inflow,1290.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,France,2020,covid,other,asylum,asylum_inflow,855.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,France,2021,covid,other,asylum,asylum_inflow,975.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Germany,2015,pre_covid,other,asylum,asylum_inflow,964.0,Q2_entry_reasons
