destination_country,origin_country,year,value,source,dataset,measure_type,period,analysis_question,reason,sub_reason
Finland,Cameroon,2022,89,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Sweden,Cameroon,2022,98,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Iceland,Cameroon,2022,3,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Liechtenstein,Cameroon,2022,0,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Norway,Cameroon,2022,25,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Switzerland,Cameroon,2022,101,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
United Kingdom,Cameroon,2022,0,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Serbia,Cameroon,2022,0,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Belgium,Cameroon,2023,1039,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Bulgaria,Cameroon,2023,1,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Czechia,Cameroon,2023,11,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Denmark,Cameroon,2023,66,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Germany,Cameroon,2023,1461,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Estonia,Cameroon,2023,8,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Ireland,Cameroon,2023,3,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Greece,Cameroon,2023,1,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Spain,Cameroon,2023,321,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
France,Cameroon,2023,2397,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Croatia,Cameroon,2023,0,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Italy,Cameroon,2023,521,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Cyprus,Cameroon,2023,24,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Latvia,Cameroon,2023,1,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Lithuania,Cameroon,2023,2,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Luxembourg,Cameroon,2023,136,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Hungary,Cameroon,2023,2,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Malta,Cameroon,2023,4,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Netherlands,Cameroon,2023,57,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Austria,Cameroon,2023,27,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Poland,Cameroon,2023,19,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Portugal,Cameroon,2023,12,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Romania,Cameroon,2023,14,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Slovenia,Cameroon,2023,2,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Slovakia,Cameroon,2023,2,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Finland,Cameroon,2023,154,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Sweden,Cameroon,2023,96,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Iceland,Cameroon,2023,4,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Liechtenstein,Cameroon,2023,0,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Norway,Cameroon,2023,26,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Switzerland,Cameroon,2023,151,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
United Kingdom,Cameroon,2023,0,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Serbia,Cameroon,2023,0,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Belgium,Cameroon,2024,1178,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Bulgaria,Cameroon,2024,5,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Czechia,Cameroon,2024,13,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Denmark,Cameroon,2024,77,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Germany,Cameroon,2024,1151,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Estonia,Cameroon,2024,8,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Ireland,Cameroon,2024,7,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Greece,Cameroon,2024,2,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Spain,Cameroon,2024,329,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
France,Cameroon,2024,2394,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Croatia,Cameroon,2024,3,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Italy,Cameroon,2024,505,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Cyprus,Cameroon,2024,11,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Latvia,Cameroon,2024,2,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Lithuania,Cameroon,2024,0,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Luxembourg,Cameroon,2024,154,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Hungary,Cameroon,2024,14,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Malta,Cameroon,2024,6,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Netherlands,Cameroon,2024,38,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Austria,Cameroon,2024,14,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Poland,Cameroon,2024,11,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Portugal,Cameroon,2024,7,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Romania,Cameroon,2024,10,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Slovenia,Cameroon,2024,0,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Slovakia,Cameroon,2024,3,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Finland,Cameroon,2024,177,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Sweden,Cameroon,2024,110,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Iceland,Cameroon,2024,0,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Liechtenstein,Cameroon,2024,0,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Norway,Cameroon,2024,27,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Switzerland,Cameroon,2024,168,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
United Kingdom,Cameroon,2024,0,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Serbia,Cameroon,2024,0,eurostat,eurostat_first_permits,permit,post_covid,Q2_entry_reasons,family,not_applicable
Belgium,Cameroon,2015,652,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,education,not_applicable
Bulgaria,Cameroon,2015,4,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,education,not_applicable
Czechia,Cameroon,2015,10,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,education,not_applicable
Denmark,Cameroon,2015,40,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,education,not_applicable
Germany,Cameroon,2015,526,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,education,not_applicable
Estonia,Cameroon,2015,13,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,education,not_applicable
Ireland,Cameroon,2015,13,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,education,not_applicable
Greece,Cameroon,2015,1,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,education,not_applicable
Spain,Cameroon,2015,37,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,education,not_applicable
France,Cameroon,2015,1201,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,education,not_applicable
Croatia,Cameroon,2015,2,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,education,not_applicable
Italy,Cameroon,2015,278,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,education,not_applicable
Cyprus,Cameroon,2015,9,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,education,not_applicable
Latvia,Cameroon,2015,2,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,education,not_applicable
Lithuania,Cameroon,2015,4,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,education,not_applicable
Luxembourg,Cameroon,2015,6,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,education,not_applicable
Hungary,Cameroon,2015,79,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,education,not_applicable
Malta,Cameroon,2015,13,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,education,not_applicable
