destination_country,origin_country,year,value,source,dataset,measure_type,period,analysis_question
Portugal,Cameroon,2024,1,eurostat,eurostat_status_changes,status_change,post_covid,Q3_post_arrival_trajectories
Romania,Cameroon,2024,12,eurostat,eurostat_status_changes,status_change,post_covid,Q3_post_arrival_trajectories
Slovenia,Cameroon,2024,2,eurostat,eurostat_status_changes,status_change,post_covid,Q3_post_arrival_trajectories
Slovakia,Cameroon,2024,1,eurostat,eurostat_status_changes,status_change,post_covid,Q3_post_arrival_trajectories
Finland,Cameroon,2024,94,eurostat,eurostat_status_changes,status_change,post_covid,Q3_post_arrival_trajectories
Sweden,Cameroon,2024,19,eurostat,eurostat_status_changes,status_change,post_covid,Q3_post_arrival_trajectories
Iceland,Cameroon,2024,1,eurostat,eurostat_status_changes,status_change,post_covid,Q3_post_arrival_trajectories
Liechtenstein,Cameroon,2024,1,eurostat,eurostat_status_changes,status_change,post_covid,Q3_post_arrival_trajectories
Norway,Cameroon,2024,4,eurostat,eurostat_status_changes,status_change,post_covid,Q3_post_arrival_trajectories
Serbia,Cameroon,2024,0,eurostat,eurostat_status_changes,status_change,post_covid,Q3_post_arrival_trajectories
