destination_country,origin_country,year,value,source,dataset,measure_type,period,analysis_question,total_migrants,male_migrants,female_migrants,destination_code,origin_code
Greece,Cameroon,2020,1545.0,undesa,undesa_destinations,stock,covid,Q1_destinations,1545.0,783.0,762.0,300,120
Italy,Cameroon,2020,15250.0,undesa,undesa_destinations,stock,covid,Q1_destinations,15250.0,8172.0,7078.0,380,120
Portugal,Cameroon,2020,82.0,undesa,undesa_destinations,stock,covid,Q1_destinations,82.0,55.0,27.0,620,120
Slovenia,Cameroon,2020,21.0,undesa,undesa_destinations,stock,covid,Q1_destinations,21.0,18.0,3.0,705,120
Belgium,Cameroon,2020,22683.0,undesa,undesa_destinations,stock,covid,Q1_destinations,22683.0,10756.0,11927.0,56,120
France,Cameroon,2020,114528.0,undesa,undesa_destinations,stock,covid,Q1_destinations,114528.0,47297.0,67231.0,250,120
Liechtenstein,Cameroon,2020,3.0,undesa,undesa_destinations,stock,covid,Q1_destinations,3.0,2.0,1.0,438,120
Luxembourg,Cameroon,2020,1234.0,undesa,undesa_destinations,stock,covid,Q1_destinations,1234.0,598.0,636.0,442,120
Dominican Republic,Cameroon,2020,23.0,undesa,undesa_destinations,stock,covid,Q1_destinations,23.0,12.0,11.0,214,120
Costa Rica,Cameroon,2020,11.0,undesa,undesa_destinations,stock,covid,Q1_destinations,11.0,6.0,5.0,188,120
Mexico,Cameroon,2020,581.0,undesa,undesa_destinations,stock,covid,Q1_destinations,581.0,366.0,215.0,484,120
Bolivia (Plurinational State of),Cameroon,2020,13.0,undesa,undesa_destinations,stock,covid,Q1_destinations,13.0,12.0,1.0,68,120
Brazil,Cameroon,2020,816.0,undesa,undesa_destinations,stock,covid,Q1_destinations,816.0,620.0,196.0,76,120
Chile,Cameroon,2020,255.0,undesa,undesa_destinations,stock,covid,Q1_destinations,255.0,130.0,125.0,152,120
Canada,Cameroon,2020,27172.0,undesa,undesa_destinations,stock,covid,Q1_destinations,27172.0,13264.0,13908.0,124,120
Australia,Cameroon,2020,581.0,undesa,undesa_destinations,stock,covid,Q1_destinations,581.0,334.0,247.0,36,120
Zambia,Cameroon,2024,396.0,undesa,undesa_destinations,stock,post_covid,Q1_destinations,396.0,217.0,179.0,894,120
Chad,Cameroon,2024,40472.0,undesa,undesa_destinations,stock,post_covid,Q1_destinations,40472.0,18089.0,22383.0,148,120
Congo,Cameroon,2024,11167.0,undesa,undesa_destinations,stock,post_covid,Q1_destinations,11167.0,6624.0,4543.0,178,120
Equatorial Guinea,Cameroon,2024,1033.0,undesa,undesa_destinations,stock,post_covid,Q1_destinations,1033.0,694.0,339.0,226,120
Gabon,Cameroon,2024,54949.0,undesa,undesa_destinations,stock,post_covid,Q1_destinations,54949.0,31924.0,23025.0,266,120
Egypt,Cameroon,2024,327.0,undesa,undesa_destinations,stock,post_covid,Q1_destinations,327.0,260.0,67.0,818,120
Tunisia,Cameroon,2024,797.0,undesa,undesa_destinations,stock,post_covid,Q1_destinations,797.0,417.0,380.0,788,120
Namibia,Cameroon,2024,129.0,undesa,undesa_destinations,stock,post_covid,Q1_destinations,129.0,107.0,22.0,516,120
South Africa,Cameroon,2024,4916.0,undesa,undesa_destinations,stock,post_covid,Q1_destinations,4916.0,3402.0,1514.0,710,120
Ghana,Cameroon,2024,147.0,undesa,undesa_destinations,stock,post_covid,Q1_destinations,147.0,99.0,48.0,288,120
