destination_country,entry_reasons,year,permits,source
Lituanie,etude,2024,203,eurostat
Luxembourg,etude,2024,83,eurostat
Hongrie,etude,2024,46,eurostat
Malte,etude,2024,69,eurostat
Pays-Bas,etude,2024,35,eurostat
Autriche,etude,2024,7,eurostat
Pologne,etude,2024,15,eurostat
Portugal,etude,2024,12,eurostat
Roumanie,etude,2024,19,eurostat
Slovénie,etude,2024,4,eurostat
Slovaquie,etude,2024,1,eurostat
Finlande,etude,2024,70,eurostat
Suède,etude,2024,30,eurostat
Islande,etude,2024,4,eurostat
Liechtenstein,etude,2024,2,eurostat
Norvège,etude,2024,4,eurostat
Suisse,etude,2024,75,eurostat
United Kingdom,etude,2024,0,eurostat
Serbie,etude,2024,1,eurostat
Belgique,travail,2015,48,eurostat
Bulgarie,travail,2015,0,eurostat
Tchéquie,travail,2015,3,eurostat
Danemark,travail,2015,39,eurostat
Allemagne,travail,2015,69,eurostat
Estonie,travail,2015,0,eurostat
Irlande,travail,2015,1,eurostat
Grèce,travail,2015,1,eurostat
Espagne,travail,2015,71,eurostat
France,travail,2015,189,eurostat
Croatie,travail,2015,4,eurostat
Italie,travail,2015,19,eurostat
Chypre,travail,2015,1,eurostat
Lettonie,travail,2015,0,eurostat
Lituanie,travail,2015,0,eurostat
Luxembourg,travail,2015,5,eurostat
Hongrie,travail,2015,10,eurostat
Malte,travail,2015,2,eurostat
Pays-Bas,travail,2015,6,eurostat
Autriche,travail,2015,4,eurostat
Pologne,travail,2015,15,eurostat
Portugal,travail,2015,7,eurostat
Roumanie,travail,2015,7,eurostat
Slovénie,travail,2015,0,eurostat
Slovaquie,travail,2015,2,eurostat
Finlande,travail,2015,11,eurostat
Suède,travail,2015,11,eurostat
Islande,travail,2015,1,eurostat
Liechtenstein,travail,2015,0,eurostat
Norvège,travail,2015,5,eurostat
Suisse,travail,2015,16,eurostat
United Kingdom,travail,2015,26,eurostat
Serbie,travail,2015,0,eurostat
Belgique,travail,2016,52,eurostat
Bulgarie,travail,2016,0,eurostat
Tchéquie,travail,2016,3,eurostat
Danemark,travail,2016,40,eurostat
Allemagne,travail,2016,99,eurostat
Estonie,travail,2016,2,eurostat
Irlande,travail,2016,3,eurostat
Grèce,travail,2016,5,eurostat
Espagne,travail,2016,71,eurostat
France,travail,2016,232,eurostat
Croatie,travail,2016,3,eurostat
Italie,travail,2016,15,eurostat
Chypre,travail,2016,4,eurostat
Lettonie,travail,2016,0,eurostat
Lituanie,travail,2016,0,eurostat
Luxembourg,travail,2016,11,eurostat
Hongrie,travail,2016,4,eurostat
Malte,travail,2016,2,eurostat
Pays-Bas,travail,2016,6,eurostat
Autriche,travail,2016,2,eurostat
Pologne,travail,2016,7,eurostat
Portugal,travail,2016,4,eurostat
Roumanie,travail,2016,1,eurostat
Slovénie,travail,2016,1,eurostat
Slovaquie,travail,2016,0,eurostat
Finlande,travail,2016,7,eurostat
Suède,travail,2016,12,eurostat
Islande,travail,2016,0,eurostat
Liechtenstein,travail,2016,0,eurostat
Norvège,travail,2016,1,eurostat
Suisse,travail,2016,15,eurostat
United Kingdom,travail,2016,40,eurostat
Serbie,travail,2016,0,eurostat
Belgique,travail,2017,38,eurostat
Bulgarie,travail,2017,0,eurostat
Tchéquie,travail,2017,0,eurostat
Danemark,travail,2017,18,eurostat
Allemagne,travail,2017,108,eurostat
Estonie,travail,2017,0,eurostat
Irlande,travail,2017,6,eurostat
Grèce,travail,2017,1,eurostat
Espagne,travail,2017,92,eurostat
France,travail,2017,239,eurostat
Croatie,travail,2017,1,eurostat
Italie,travail,2017,9,eurostat
Chypre,travail,2017,3,eurostat
Lettonie,travail,2017,0,eurostat
Lituanie,travail,2017,0,eurostat
Luxembourg,travail,2017,15,eurostat
Hongrie,travail,2017,6,eurostat
Malte,travail,2017,4,eurostat
Pays-Bas,travail,2017,7,eurostat
Autriche,travail,2017,6,eurostat
Pologne,travail,2017,5,eurostat
Portugal,travail,2017,6,eurostat
Roumanie,travail,2017,2,eurostat
Slovénie,travail,2017,0,eurostat
Slovaquie,travail,2017,5,eurostat
