destination_country,destination_code,origin_country,origin_code,year,total_migrants,male_migrants,female_migrants,source,dataset,measure_type,period
Estonia,233,Cameroon,120,2020,80.0,57.0,23.0,UN DESA,international_migrant_stock,stock,covid
Finland*,246,Cameroon,120,2020,1094.0,676.0,418.0,UN DESA,international_migrant_stock,stock,covid
Iceland,352,Cameroon,120,2020,5.0,3.0,2.0,UN DESA,international_migrant_stock,stock,covid
Latvia,428,Cameroon,120,2020,4.0,4.0,,UN DESA,international_migrant_stock,stock,covid
Lithuania,440,Cameroon,120,2020,30.0,22.0,8.0,UN DESA,international_migrant_stock,stock,covid
Norway*,578,Cameroon,120,2020,814.0,449.0,365.0,UN DESA,international_migrant_stock,stock,covid
Greece,300,Cameroon,120,2020,1545.0,783.0,762.0,UN DESA,international_migrant_stock,stock,covid
Italy,380,Cameroon,120,2020,15250.0,8172.0,7078.0,UN DESA,international_migrant_stock,stock,covid
Portugal,620,Cameroon,120,2020,82.0,55.0,27.0,UN DESA,international_migrant_stock,stock,covid
Slovenia,705,Cameroon,120,2020,21.0,18.0,3.0,UN DESA,international_migrant_stock,stock,covid
Belgium,56,Cameroon,120,2020,22683.0,10756.0,11927.0,UN DESA,international_migrant_stock,stock,covid
France*,250,Cameroon,120,2020,114528.0,47297.0,67231.0,UN DESA,international_migrant_stock,stock,covid
Liechtenstein,438,Cameroon,120,2020,3.0,2.0,1.0,UN DESA,international_migrant_stock,stock,covid
Luxembourg,442,Cameroon,120,2020,1234.0,598.0,636.0,UN DESA,international_migrant_stock,stock,covid
Dominican Republic,214,Cameroon,120,2020,23.0,12.0,11.0,UN DESA,international_migrant_stock,stock,covid
Costa Rica,188,Cameroon,120,2020,11.0,6.0,5.0,UN DESA,international_migrant_stock,stock,covid
Mexico,484,Cameroon,120,2020,581.0,366.0,215.0,UN DESA,international_migrant_stock,stock,covid
Bolivia (Plurinational State of),68,Cameroon,120,2020,13.0,12.0,1.0,UN DESA,international_migrant_stock,stock,covid
Brazil,76,Cameroon,120,2020,816.0,620.0,196.0,UN DESA,international_migrant_stock,stock,covid
Chile,152,Cameroon,120,2020,255.0,130.0,125.0,UN DESA,international_migrant_stock,stock,covid
Canada,124,Cameroon,120,2020,27172.0,13264.0,13908.0,UN DESA,international_migrant_stock,stock,covid
Australia*,36,Cameroon,120,2020,581.0,334.0,247.0,UN DESA,international_migrant_stock,stock,covid
Zambia,894,Cameroon,120,2024,396.0,217.0,179.0,UN DESA,international_migrant_stock,stock,post_covid
Chad,148,Cameroon,120,2024,40472.0,18089.0,22383.0,UN DESA,international_migrant_stock,stock,post_covid
Congo,178,Cameroon,120,2024,11167.0,6624.0,4543.0,UN DESA,international_migrant_stock,stock,post_covid
Equatorial Guinea,226,Cameroon,120,2024,1033.0,694.0,339.0,UN DESA,international_migrant_stock,stock,post_covid
